structure_id,entry_id,prototype,strukturbericht,formula_type,space_group_number,crystal_system,lattice_a,lattice_b,lattice_c,volume_per_atom
struct_entry_Ni3Al_001,entry_Ni3Al_001,L12,L12,A3B,221,cubic,3.572,3.572,3.572,11.39
struct_entry_Ni3Ga_002,entry_Ni3Ga_002,L12,L12,A3B,221,cubic,3.66,3.66,3.66,12.26
struct_entry_Ni3Ge_003,entry_Ni3Ge_003,L12,L12,A3B,221,cubic,3.61,3.61,3.61,11.76
struct_entry_Co3Ti_004,entry_Co3Ti_004,L12,L12,A3B,221,cubic,3.55,3.55,3.55,11.18
struct_entry_Al3Sc_005,entry_Al3Sc_005,L12,L12,A3B,221,cubic,4.09,4.09,4.09,17.1
struct_entry_Al3Ti_006,entry_Al3Ti_006,L12,L12,A3B,221,cubic,3.98,3.98,3.98,15.76
struct_entry_Pt3Al_007,entry_Pt3Al_007,L12,L12,A3B,221,cubic,3.9,3.9,3.9,14.83
struct_entry_Ir3Nb_008,entry_Ir3Nb_008,L12,L12,A3B,221,cubic,3.87,3.87,3.87,14.49
struct_entry_Co3Al_009,entry_Co3Al_009,L12,L12,A3B,221,cubic,3.67,3.67,3.67,12.36
struct_entry_Co3W_010,entry_Co3W_010,L12,L12,A3B,221,cubic,3.74,3.74,3.74,13.08
struct_entry_Co3Ta_011,entry_Co3Ta_011,L12,L12,A3B,221,cubic,3.72,3.72,3.72,12.87
struct_entry_Ni3Ti_012,entry_Ni3Ti_012,L12,L12,A3B,221,cubic,3.4,3.4,3.4,9.83
struct_entry_Ni3Nb_013,entry_Ni3Nb_013,L12,L12,A3B,221,cubic,3.42,3.42,3.42,10.0
struct_entry_Ni3Ta_014,entry_Ni3Ta_014,L12,L12,A3B,221,cubic,3.44,3.44,3.44,10.18
struct_entry_Ni3Sc_015,entry_Ni3Sc_015,L12,L12,A3B,221,cubic,3.46,3.46,3.46,10.36
struct_entry_Ni3Y_016,entry_Ni3Y_016,L12,L12,A3B,221,cubic,3.48,3.48,3.48,10.54
struct_entry_Ni3Hf_017,entry_Ni3Hf_017,L12,L12,A3B,221,cubic,3.5,3.5,3.5,10.72
struct_entry_Ni3Si_018,entry_Ni3Si_018,L12,L12,A3B,221,cubic,3.52,3.52,3.52,10.9
struct_entry_Ni3Sn_019,entry_Ni3Sn_019,L12,L12,A3B,221,cubic,3.54,3.54,3.54,11.09
struct_entry_Ni3Zn_020,entry_Ni3Zn_020,L12,L12,A3B,221,cubic,3.56,3.56,3.56,11.28
struct_entry_Ni3V_021,entry_Ni3V_021,L12,L12,A3B,221,cubic,3.58,3.58,3.58,11.47
struct_entry_Ni3Zr_022,entry_Ni3Zr_022,L12,L12,A3B,221,cubic,3.6,3.6,3.6,11.66
struct_entry_Ni3Mn_023,entry_Ni3Mn_023,L12,L12,A3B,221,cubic,3.62,3.62,3.62,11.86
struct_entry_Co3Ga_024,entry_Co3Ga_024,L12,L12,A3B,221,cubic,3.64,3.64,3.64,12.06
struct_entry_Co3Ge_025,entry_Co3Ge_025,L12,L12,A3B,221,cubic,3.66,3.66,3.66,12.26
struct_entry_Co3Nb_026,entry_Co3Nb_026,L12,L12,A3B,221,cubic,3.68,3.68,3.68,12.46
struct_entry_Co3Sc_027,entry_Co3Sc_027,L12,L12,A3B,221,cubic,3.7,3.7,3.7,12.66
struct_entry_Co3Y_028,entry_Co3Y_028,L12,L12,A3B,221,cubic,3.72,3.72,3.72,12.87
struct_entry_Co3Hf_029,entry_Co3Hf_029,L12,L12,A3B,221,cubic,3.74,3.74,3.74,13.08
struct_entry_Co3Si_030,entry_Co3Si_030,L12,L12,A3B,221,cubic,3.76,3.76,3.76,13.29
struct_entry_Co3Sn_031,entry_Co3Sn_031,L12,L12,A3B,221,cubic,3.78,3.78,3.78,13.5
struct_entry_Co3Zn_032,entry_Co3Zn_032,L12,L12,A3B,221,cubic,3.8,3.8,3.8,13.72
struct_entry_Co3V_033,entry_Co3V_033,L12,L12,A3B,221,cubic,3.82,3.82,3.82,13.94
struct_entry_Co3Zr_034,entry_Co3Zr_034,L12,L12,A3B,221,cubic,3.84,3.84,3.84,14.16
struct_entry_Co3Mn_035,entry_Co3Mn_035,L12,L12,A3B,221,cubic,3.86,3.86,3.86,14.38
struct_entry_Fe3Al_036,entry_Fe3Al_036,L12,L12,A3B,221,cubic,3.88,3.88,3.88,14.6
struct_entry_Fe3Ga_037,entry_Fe3Ga_037,L12,L12,A3B,221,cubic,3.9,3.9,3.9,14.83
struct_entry_Fe3Ge_038,entry_Fe3Ge_038,L12,L12,A3B,221,cubic,3.92,3.92,3.92,15.06
struct_entry_Fe3Ti_039,entry_Fe3Ti_039,L12,L12,A3B,221,cubic,3.94,3.94,3.94,15.29
struct_entry_Fe3Nb_040,entry_Fe3Nb_040,L12,L12,A3B,221,cubic,3.96,3.96,3.96,15.52
struct_entry_Fe3Ta_041,entry_Fe3Ta_041,L12,L12,A3B,221,cubic,3.98,3.98,3.98,15.76
struct_entry_Fe3Sc_042,entry_Fe3Sc_042,L12,L12,A3B,221,cubic,4.0,4.0,4.0,16.0
struct_entry_Fe3Y_043,entry_Fe3Y_043,L12,L12,A3B,221,cubic,4.02,4.02,4.02,16.24
struct_entry_Fe3Hf_044,entry_Fe3Hf_044,L12,L12,A3B,221,cubic,4.04,4.04,4.04,16.48
struct_entry_Fe3Si_045,entry_Fe3Si_045,L12,L12,A3B,221,cubic,4.06,4.06,4.06,16.73
struct_entry_Fe3Sn_046,entry_Fe3Sn_046,L12,L12,A3B,221,cubic,4.08,4.08,4.08,16.98
struct_entry_Fe3Zn_047,entry_Fe3Zn_047,L12,L12,A3B,221,cubic,3.4,3.4,3.4,9.83
struct_entry_Fe3V_048,entry_Fe3V_048,L12,L12,A3B,221,cubic,3.42,3.42,3.42,10.0
struct_entry_Fe3Zr_049,entry_Fe3Zr_049,L12,L12,A3B,221,cubic,3.44,3.44,3.44,10.18
struct_entry_Fe3Mn_050,entry_Fe3Mn_050,L12,L12,A3B,221,cubic,3.46,3.46,3.46,10.36
struct_entry_Cu3Al_051,entry_Cu3Al_051,L12,L12,A3B,221,cubic,3.48,3.48,3.48,10.54
struct_entry_Cu3Ga_052,entry_Cu3Ga_052,L12,L12,A3B,221,cubic,3.5,3.5,3.5,10.72
struct_entry_Cu3Ge_053,entry_Cu3Ge_053,L12,L12,A3B,221,cubic,3.52,3.52,3.52,10.9
struct_entry_Cu3Ti_054,entry_Cu3Ti_054,L12,L12,A3B,221,cubic,3.54,3.54,3.54,11.09
struct_entry_Cu3Nb_055,entry_Cu3Nb_055,L12,L12,A3B,221,cubic,3.56,3.56,3.56,11.28
struct_entry_Cu3Ta_056,entry_Cu3Ta_056,L12,L12,A3B,221,cubic,3.58,3.58,3.58,11.47
struct_entry_Cu3Sc_057,entry_Cu3Sc_057,L12,L12,A3B,221,cubic,3.6,3.6,3.6,11.66
struct_entry_Cu3Y_058,entry_Cu3Y_058,L12,L12,A3B,221,cubic,3.62,3.62,3.62,11.86
struct_entry_Cu3Hf_059,entry_Cu3Hf_059,L12,L12,A3B,221,cubic,3.64,3.64,3.64,12.06
struct_entry_Cu3Si_060,entry_Cu3Si_060,L12,L12,A3B,221,cubic,3.66,3.66,3.66,12.26
struct_entry_Cu3Sn_061,entry_Cu3Sn_061,L12,L12,A3B,221,cubic,3.68,3.68,3.68,12.46
struct_entry_Cu3Zn_062,entry_Cu3Zn_062,L12,L12,A3B,221,cubic,3.7,3.7,3.7,12.66
struct_entry_Cu3V_063,entry_Cu3V_063,L12,L12,A3B,221,cubic,3.72,3.72,3.72,12.87
struct_entry_Cu3Zr_064,entry_Cu3Zr_064,L12,L12,A3B,221,cubic,3.74,3.74,3.74,13.08
struct_entry_Cu3Mn_065,entry_Cu3Mn_065,L12,L12,A3B,221,cubic,3.76,3.76,3.76,13.29
struct_entry_Pd3Al_066,entry_Pd3Al_066,L12,L12,A3B,221,cubic,3.78,3.78,3.78,13.5
struct_entry_Pd3Ga_067,entry_Pd3Ga_067,L12,L12,A3B,221,cubic,3.8,3.8,3.8,13.72
struct_entry_Pd3Ge_068,entry_Pd3Ge_068,L12,L12,A3B,221,cubic,3.82,3.82,3.82,13.94
struct_entry_Pd3Ti_069,entry_Pd3Ti_069,L12,L12,A3B,221,cubic,3.84,3.84,3.84,14.16
struct_entry_Pd3Nb_070,entry_Pd3Nb_070,L12,L12,A3B,221,cubic,3.86,3.86,3.86,14.38
struct_entry_Pd3Ta_071,entry_Pd3Ta_071,L12,L12,A3B,221,cubic,3.88,3.88,3.88,14.6
struct_entry_Pd3Sc_072,entry_Pd3Sc_072,L12,L12,A3B,221,cubic,3.9,3.9,3.9,14.83
struct_entry_Pd3Y_073,entry_Pd3Y_073,L12,L12,A3B,221,cubic,3.92,3.92,3.92,15.06
struct_entry_Pd3Hf_074,entry_Pd3Hf_074,L12,L12,A3B,221,cubic,3.94,3.94,3.94,15.29
struct_entry_Pd3Si_075,entry_Pd3Si_075,L12,L12,A3B,221,cubic,3.96,3.96,3.96,15.52
